handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
jpineau1	Joelle Pineau	RL / dialogue					CEt6_mMAAAAJ				p/JoellePineau			https://pbs.twimg.com/profile_images/1555641981912629249/1ldgbcoj.jpg			Joelle Pineau
shuchaobi	Shuchao Bi	RL / post-training					6egQH44AAAAJ				347/2281			https://pbs.twimg.com/profile_images/1842686033592565760/MoZKV90L.jpg			Shuchao Bi
alexrives	Alex Rives	protein language models	alexrives	1			vqb78-gAAAAJ				263/9834			https://avatars.githubusercontent.com/u/1775285?v=4			Alex Rives
volokuleshov	Volodymyr Kuleshov	diffusion / generative models	kuleshov	969	Cornell Tech		RY_t8XAAAAAJ	2257271109	15	2125	81/8612	Cornell Tech	https://www.cs.cornell.edu/~kuleshov/	https://avatars.githubusercontent.com/u/2359246?v=4			Volodymyr Kuleshov
mckbrando	Brandon McKinzie	multimodal	mckinziebrandon	86			rgG_wJwAAAAJ	102253939	5	770	331/5353		mckinziebrandon.me	https://avatars.githubusercontent.com/u/11165945?v=4	Passionate about deep learning, AI, and clean code. Profile picture above was made with neural style transfer.		Brandon McKinzie
ml_angelopoulos	Anastasios Nikolas Angelopoulos	evaluation / statistics	aangelopoulos	477	University of California, Berkeley		nfX25MMAAAAJ				243/5855	University of California, Berkeley	angelopoulos.ai	https://avatars.githubusercontent.com/u/25397074?v=4	Ph.D. student at UC Berkeley AI Research.		Anastasios Nikolas Angelopoulos
armandjoulin	Armand Joulin	LLM training					kRJkDakAAAAJ				68/8653			https://pbs.twimg.com/profile_images/1555926229114621955/sNF2ka7d.jpg			Armand Joulin
sharan0909	Sharan Narang	LLM training	sharannarang	37			CWOixywAAAAJ	46617804	29	79619	173/5215			https://avatars.githubusercontent.com/u/7253756?v=4			Sharan Narang
seb_ruder	Sebastian Ruder	NLP					8ONXPV8AAAAJ	2326992780	4	72	186/7066			https://pbs.twimg.com/profile_images/1100429844830146560/mgKi3vLm.jpg			Sebastian Ruder
iamtrask	Andrew Trask	privacy-preserving ML	iamtrask	4470			2Ajxf1sAAAAJ				164/5786		http://iamtrask.github.io/	https://avatars.githubusercontent.com/u/4328594?v=4	Leader of @OpenMined, Senior Research Scientist at DeepMind, PhD Student at Oxford, Author of Grokking Deep Learning, Instructor at Udacity		Andrew Trask
sedielem	Sander Dieleman	generative models					yNNIKJsAAAAJ	48373216	33	39383	86/10569			https://pbs.twimg.com/profile_images/539842407081066497/6JaLwehz.png			Sander Dieleman
zacharylipton	Zachary Lipton	ML methodology					MN9Kfg8AAAAJ	2126415179	7	275	142/2839			https://pbs.twimg.com/profile_images/2030494172537630720/VpO0tb3Y.jpg			Zachary Lipton
dustinvtran	Dustin Tran	post-training					wVazIm8AAAAJ				163/2106			https://pbs.twimg.com/profile_images/1760473078960975872/pcr-qicQ.jpg			Dustin Tran
yitayml	Yi Tay	LLM training				yitayreka	VBclY_cAAAAJ				99/4046			/avatars/4869987ac8ad81e08525119c480ea9bf.svg			Yi Tay
